model_name,pretrained,fraction,augmentation,seed,param_count,best_epoch,best_mAP,training_time_sec,val_loss,mAP,supported_mAP,supported_classes,ap_aeroplane,ap_bicycle,ap_bird,ap_boat,ap_bottle,ap_bus,ap_car,ap_cat,ap_chair,ap_cow,ap_diningtable,ap_dog,ap_horse,ap_motorbike,ap_person,ap_pottedplant,ap_sheep,ap_sofa,ap_train,ap_tvmonitor,run_dir
convnext_t,True,0.05,standard,123,27835508,30,0.7809,428.2,0.09369889949704265,0.7809007865987322,0.7809007865987322,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9565977424712948,0.8541351430845217,0.9129619016035404,0.848345686479102,0.370243964950127,0.8997931789191326,0.7756591849979997,0.9665962626254117,0.5902629012659462,0.7074596984769447,0.6163741333015486,0.9352874519773402,0.8834378631229015,0.8085702439244277,0.9554910591485404,0.3700468661972927,0.7957175297654974,0.6456762150215658,0.9326635871009801,0.7926951175405277,convnext_t_pretrained_frac0.05_aug-standard_seed123
convnext_t,True,0.05,standard,42,27835508,30,0.7808,387.6,0.09326189347020872,0.7807947875959321,0.7807947875959321,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9610542348377804,0.8288066971419138,0.9141482230934546,0.7877328792491353,0.35130043855641385,0.9059991763110681,0.7848426340842476,0.9753259688297725,0.6458545640517908,0.7461710893501844,0.6282305824956546,0.9304854303373323,0.8727685804316754,0.7882377429831231,0.9490968862961514,0.3582193188788604,0.8258768873291806,0.651292038033469,0.9373873376531813,0.7730650419742546,convnext_t_pretrained_frac0.05_aug-standard_seed42
convnext_t,True,0.05,standard,456,27835508,30,0.7781,327.6,0.09337911140787733,0.7781411298644165,0.7781411298644165,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9644630011412983,0.839894349697354,0.9242461538960496,0.8462028905890407,0.33756238015955625,0.9297331819740059,0.7798666714184823,0.9630589378458482,0.613731141966063,0.7153650183825017,0.6241042769206138,0.9238921389288307,0.9220366810796159,0.735777717310244,0.9541807591385288,0.2683256505300718,0.8015243402276515,0.6724328088793505,0.9406425756468418,0.8057819215563805,convnext_t_pretrained_frac0.05_aug-standard_seed456
convnext_t,True,0.1,standard,123,27835508,28,0.8491,431.0,0.07192337959186061,0.8490508732851412,0.8490508732851412,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9796689250703716,0.89108003809403,0.9541341384341475,0.8873010018630052,0.6292705073314343,0.9365640668568418,0.7984914712031641,0.9782555010404645,0.714057036029344,0.8809354541847281,0.6658158571410884,0.9666933943823384,0.9498682708873089,0.9036331017935604,0.962370084164672,0.5347366007183016,0.9029724931885256,0.6244384990933081,0.9671389265630679,0.8535920976631237,convnext_t_pretrained_frac0.10_aug-standard_seed123
convnext_t,True,0.1,standard,42,27835508,30,0.8472,870.9,0.07163284035338151,0.8472420947168914,0.8472420947168914,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9776193037173753,0.8705458162120415,0.9600740693541537,0.8748062854247031,0.5850584328059585,0.9402137472947659,0.8201690483219856,0.9785689514849839,0.7404685058881375,0.8703477290925601,0.6863528597681401,0.9633686291517081,0.946805153393079,0.9052690157941577,0.9611622152157188,0.5125123890909893,0.8971086830113509,0.6520657419412311,0.9644548916063286,0.8378704257684577,convnext_t_pretrained_frac0.10_aug-standard_seed42
convnext_t,True,0.1,standard,456,27835508,25,0.8468,431.1,0.07148633565712761,0.8468102677037799,0.8468102677037799,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9834610885753774,0.8983652264180164,0.9593832819956121,0.9083961056645169,0.5472257747766877,0.9449146103665756,0.8170757618112795,0.9804109568998073,0.715508658795749,0.8766672106884987,0.6904918346192144,0.9632754385185481,0.9522097234550967,0.8943346732929659,0.9616463397310389,0.4800983418128504,0.900884663055264,0.64942809579968,0.9690177210306328,0.8434098467681852,convnext_t_pretrained_frac0.10_aug-standard_seed456
convnext_t,True,0.2,standard,123,27835508,15,0.8801,359.0,0.06231364116563902,0.8800550985360607,0.8800550985360607,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9875583782242484,0.9135668072876565,0.9674881900062844,0.9215315091988122,0.7008722414941423,0.9455905078929727,0.8368083092798061,0.989607639755134,0.7338857312215552,0.9614347688801831,0.720661842671892,0.9742657850696761,0.9636669492537333,0.9384953928918667,0.9639442177630159,0.583515151403749,0.9219743272445807,0.707853339728257,0.9737183494142422,0.8946625320394067,convnext_t_pretrained_frac0.20_aug-standard_seed123
convnext_t,True,0.2,standard,42,27835508,14,0.8808,329.6,0.06233232505210153,0.8808258508590505,0.8808258508590505,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9828862647785637,0.9049938562988115,0.9668414967420228,0.9184150142770607,0.7103714599302327,0.9393399817238354,0.8514828560990813,0.9885361074253339,0.7578225781571808,0.9312765740528085,0.7405948071951152,0.9727357208828478,0.9748246407380796,0.9310507987539287,0.9645643906246043,0.5961186016847302,0.9158623585119903,0.6921322062999958,0.9697970246362728,0.9068702783685108,convnext_t_pretrained_frac0.20_aug-standard_seed42
convnext_t,True,0.2,standard,456,27835508,20,0.8826,426.3,0.06228273566607591,0.8826296934774565,0.8826296934774565,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.9898231628187437,0.9078163607957863,0.9692727778203211,0.9273593392548142,0.6972435548006888,0.9515798685481479,0.8450997905019197,0.9902466993692316,0.7379482323846556,0.9523704264923872,0.7425922158893932,0.9732624625050265,0.9726298898395522,0.9350390619984421,0.9622687037568587,0.5922953983263826,0.9170167636158233,0.7082351650358913,0.9718880235190619,0.9086059722760017,convnext_t_pretrained_frac0.20_aug-standard_seed456
convnext_t,True,0.5,standard,123,27835508,10,0.8979,386.8,0.058537998083201086,0.8979203809834327,0.8979203809834327,"[0, 1, 2, 3, 4, 5, 6, 7, 8, 9, 10, 11, 12, 13, 14, 15, 16, 17, 18, 19]",0.993277564128758,0.9272036094207634,0.9714864588599785,0.9332000233537373,0.7714447101782981,0.9532464886895992,0.8533617872988127,0.986938856514503,0.7869303600672005,0.9568778833208511,0.7410428835175297,0.9771713336846563,0.9796326424696923,0.9430262834845843,0.9676520802186339,0.6531584890880519,0.9497388929986881,0.7207900257703199,0.9855790941224363,0.9066481524815614,convnext_t_pretrained_frac0.50_aug-standard_seed123
